Item,price ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Famous Star with Cheese ,,670,57,28,37,1,1,0,0,1,0,1
Super Star with Cheese ,,920,59,48,56,1,1,0,0,1,0,1
Western Bacon Cheeseburger,,750,75,36,35,0,1,0,0,1,0,1
Double Western Bacon Cheeseburger,,1010,76,55,55,0,1,0,0,1,0,1
Teriyaki Burger,,660,71,28,29,1,1,0,0,1,0,1
The Big Carl,,920,56,47,58,1,1,0,0,1,0,1
California Classic Double Cheeseburger,,600,41,23,39,0,1,0,0,1,0,1
Grass-Fed All-Natural Burger(Single),,700,55,30,39,1,1,0,0,1,0,1
The 1/3 lb. Original Six Dollar Thickburger,,780,55,33,48,1,1,0,0,1,0,1
The 1/2 lb. Original Six Dollar Thickburger,,980,59,46,69,1,1,0,0,1,0,1
The 1/3 lb. Guacamole Bacon Thickburger,,950,50,39,67,1,1,0,0,1,0,1
The 1/2 lb. Guacamole Bacon Thickburger,,1200,51,46,89,1,1,0,0,1,0,1
The 1/3 lb Jalapeno Thickburger,,820,48,32,56,1,1,0,0,1,0,1
The 1/2 lb Jalapeno Thickburger,,1020,49,45,72,1,1,0,0,1,0,1
The 1/3 lb Lettuce-Wrapped Thickburger,,420,8,25,33,1,1,0,0,1,0,0
The 1/2 lb Lettuce-Wrapped Thickburger,,630,9,39,55,1,1,0,0,1,0,0
Big Hamburger,,480,56,25,18,0,0,0,0,0,0,1
Double Cheeseburger,,390,37,19,19,0,1,0,0,1,0,1
Kid's Hamburger ,,250,33,11,9,0,0,0,0,0,0,1
Kid's Cheeseburger ,,310,34,14,13,0,1,0,0,1,0,1
All-Natural Charbroiled Chicken Club Sandwich,,590,46,42,27,1,1,0,0,1,0,1
All-Natural Charbroiled Santa Fe Chicken Sandwich,,550,45,36,25,1,1,0,0,1,0,1
All-Natural Charbroiled BBQ Chicken Sandwich ,,370,49,33,5,0,0,0,0,1,0,1
Big Chicken Fillet Sandwich ,,650,55,33,33,1,1,0,0,1,0,1
Bacon Swiss Crispy Chicken Sandwich,,770,58,42,41,1,1,0,0,1,0,1
Kid's Hand-Breaded Chicken Tenders(2 pieces),,180,9,16,9,1,1,0,0,0,0,1
Hand-Breaded Chicken Tenders(3 pieces) ,,260,13,25,13,1,1,0,0,0,0,1
Hand-Breaded Chicken Tenders(5 pieces) ,,440,21,41,21,1,1,0,0,0,0,1
Spicy Chicken Sandwich ,,490,43,14,29,1,1,0,0,1,0,1
Chicken Stars(4 pieces) ,,180,13,9,10,1,1,0,0,1,0,1
Chicken Stars(6 pieces) ,,270,19,14,15,1,1,0,0,1,0,1
Chicken Stars(9 pieces) ,,410,29,21,23,1,1,0,0,1,0,1
Natural-Cut Fries(Kids) ,,240,31,3,12,0,0,0,0,0,0,0
Natural-Cut Fries(Small) ,,300,39,3,15,0,0,0,0,0,0,0
Natural-Cut Fries(Medium) ,,430,55,5,21,0,0,0,0,0,0,0
Natural-Cut Fries(Large) ,,460,59,5,22,0,0,0,0,0,0,0
CrissCut Fries,,450,42,5,29,0,0,0,0,0,0,1
Onion Rings,,530,61,8,28,0,1,0,0,0,0,1
Fried Zucchini,,380,39,5,23,0,1,0,0,0,0,1
All-Natural Charbroiled Chicken Salad,,280,19,32,9,0,1,0,0,1,0,1
Garden Side Salad ,,140,15,6,7,0,1,0,0,1,0,1
House Dressing ,,210,5,0,23,1,1,0,0,0,0,0
Blue Cheese Dressing,,310,2,2,34,1,1,0,0,0,0,0
Low Fat Balsamic Vinaigrette Dressing ,,20,3,0,1,0,0,0,0,0,0,0
Sweet & Bold BBQ Dipping Sauce ,,50,12,0,0,0,0,0,0,0,0,0
