Item,price ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Original Grand Slam,,1050,109,36,52,,,,,,,
Yep….Pancakes,,760,144,15,14,,,,,,,
Grand Slamwich,,1230,72,51,83,,,,,,,
Chipotle Breakfast Burrito,,1070,56,44,72,,,,,,,
"Sausage, Egg & Cheese Brioche Melt",,560,37,25,36,,,,,,,
"Bacon, Egg & Cheese Brioche Melt ",,550,37,24,35,,,,,,,
"Ham, Egg & Cheese Brioche Melt",,510,36,25,30,,,,,,,
Egg White Ranchero Brioche Melt ,,410,38,18,21,,,,,,,
Breakfast Scramble Burger ,,1120,50,54,79,,,,,,,
Bacon Avovado Club Burger Den Burger ,,990,54,55,62,,,,,,,
Den Burger,,570,37,36,32,,,,,,,
Double Den Burger ,,690,37,45,41,,,,,,,
Bacon Cheeseburger ,,680,38,43,40,,,,,,,
Little Den Burger ,,460,37,26,23,,,,,,,
Chipotle Bacon BBQ Cheeseburger ,,1190,74,49,80,,,,,,,
American Cheese ,,80,1,4,7,,,,,,,
Swiss Cheese ,,80,0,6,6,,,,,,,
Pepper Jack Cheese ,,80,0,5,6,,,,,,,
Cali Chicken Sandwich,,790,53,43,47,,,,,,,
Veggie Mash Up Burger ,,620,67,15,34,,,,,,,
Chick'N Bacon Brioche Melt ,,810,70,35,45,,,,,,,
Fried Cheese Melt ,,680,61,27,40,,,,,,,
Greek Chicken Wrap ,,810,52,39,53,,,,,,,
Cajun Chicken Wrap ,,890,70,40,52,,,,,,,
Italian Panini,,860,57,40,54,,,,,,,
Grilled Chicken Panini,,930,75,51,49,,,,,,,
Turkey BLT Sandwich ,,700,52,37,38,,,,,,,
Gruacomole Chicken Burrito ,,930,56,50,56,,,,,,,
Veggie Mash Up Burrito ,,990,92,31,55,,,,,,,
Pecan Cranverry Chicken Salad wish Balsamic Vinaigrette ,,540,32,41,28,,,,,,,
Southwestern Chicken Salad with Cilantro Lime Ranch Dressing ,,690,31,37,46,,,,,,,
Buffalo Cobb Salad With Ranch Dressing ,,810,37,37,58,,,,,,,
Tex Mex Taco Salad with Ranch Dressing ,,1010,37,37,79,,,,,,,
Bruschetta Chicken Salad with Greek Dressing ,,540,11,33,44,,,,,,,
Fruit Cup ,,70,18,1,0,,,,,,,
Yogurt Parfait ,,310,61,10,3.5,,,,,,,
Mozzarella Sticks with tomato sauce(5pc) ,,370,41,20,15,,,,,,,
Mozzarella Sticks with tomato sauce(8pc) ,,580,63,32,23,,,,,,,
Fried Green Beans ,,560,58,6,34,,,,,,,
French Fries ,,340,40,4,18,,,,,,,
Sweet Potato Fries ,,360,51,3,16,,,,,,,
Potato Rounds ,,240,26,2,15,,,,,,,
Onion Rings ,,650,74,8,36,,,,,,,
Chicken Tenders with Honey Mustard(3 pc) ,,550,52,25,28,,,,,,,
Chicken Tenders with Honey Mustard(5 pc) ,,790,78,42,36,,,,,,,
Bacon Chedder Tots with Ranch Dressing(5 pc) ,,450,27,8,34,,,,,,,
Bacon Chedder Tots with Ranch Dressing(10 pc) ,,690,52,17,46,,,,,,,
Chipotle Sauce ,,240,3,0,27,,,,,,,
Roasted Garlic Mayonnaise ,,230,1,0,25,,,,,,,
Cilantro Lime Ranch Dressing ,,220,1,0,24,,,,,,,
Ranch Dressing ,,200,1,0,21,,,,,,,
Honey Mustard Dressing ,,180,12,0,15,,,,,,,
Sweet & Tangy Barbecue Sauce ,,110,30,0,0,,,,,,,
Buffalo Wing Sauce ,,70,1,0,7,,,,,,,
Fire-Roasted Salsa ,,10,2,1,0,,,,,,,
Sour Cream ,,45,1,1,4,,,,,,,
"Balsamic Vinaigrette, Low-Fat ",,60,12,0,2,,,,,,,
Greek Dressing ,,160,3,1,18,,,,,,,
Pig Out ,,100,1,7,8,,,,,,,
Go Green ,,60,3,1,5,,,,,,,
Wrapped Up ,,5,1,1,0,,,,,,,
Chocolate Milkshake ,,960,121,18,48,,,,,,,
Maple Bacon Milkshake ,,1020,113,20,56,,,,,,,
OREO Blender Blakster ,,1020,118,15,57,,,,,,,
Chocolate Stout ,,990,129,18,48,,,,,,,
Vanilla Stout ,,940,119,13,48,,,,,,,
Vanilla Milkshake ,,810,85,13,48,,,,,,,
Oatmeal Cookie ,,510,82,8,19,,,,,,,
S'Mores Cooke ,,540,82,6,24,,,,,,,
Chocolate Chunk Cookie ,,570,78,7,28,,,,,,,
