name,id, price  ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Famous Star with Cheese ,1,$4.35 ,670,57,28,37,1,1,0,0,1,0,1
Super Star with Cheese ,1,$5.99 ,920,59,48,56,1,1,0,0,1,0,1
Western Bacon Cheeseburger,1,$5.25 ,750,75,36,35,0,1,0,0,1,0,1
Double Western Bacon Cheeseburger,1,$6.59 ,1010,76,55,55,0,1,0,0,1,0,1
The Big Carl,1,$5.69 ,920,56,47,58,1,1,0,0,1,0,1
California Classic Double Cheeseburger,1,$3.49 ,600,41,23,39,0,1,0,0,1,0,1
The 1/3 lb. Original Six Dollar Thickburger,1,$5.99 ,780,55,33,48,1,1,0,0,1,0,1
The 1/2 lb. Original Six Dollar Thickburger,1,$6.79 ,980,59,46,69,1,1,0,0,1,0,1
The 1/3 lb. Guacamole Bacon Thickburger,1,$6.86 ,950,50,39,67,1,1,0,0,1,0,1
The 1/2 lb. Guacamole Bacon Thickburger,1,$7.99 ,1200,51,46,89,1,1,0,0,1,0,1
The 1/3 lb Jalapeno Thickburger,1,$6.69 ,820,48,32,56,1,1,0,0,1,0,1
The 1/2 lb Jalapeno Thickburger,1,$7.69 ,1020,49,45,72,1,1,0,0,1,0,1
The 1/3 lb Lettuce-Wrapped Thickburger,1,$5.69 ,420,8,25,33,1,1,0,0,1,0,0
The 1/2 lb Lettuce-Wrapped Thickburger,1,$6.79 ,630,9,39,55,1,1,0,0,1,0,0
All-Natural Charbroiled Chicken Club Sandwich,1,$6.49 ,590,46,42,27,1,1,0,0,1,0,1
All-Natural Charbroiled Santa Fe Chicken Sandwich,1,$6.49 ,550,45,36,25,1,1,0,0,1,0,1
All-Natural Charbroiled BBQ Chicken Sandwich ,1,$5.89 ,370,49,33,5,0,0,0,0,1,0,1
Big Chicken Fillet Sandwich ,1,$6.50 ,650,55,33,33,1,1,0,0,1,0,1
Bacon Swiss Crispy Chicken Sandwich,1,$7.50 ,770,58,42,41,1,1,0,0,1,0,1
Hand-Breaded Chicken Tenders(3 pieces) ,1,$4.69 ,260,13,25,13,1,1,0,0,0,0,1
Hand-Breaded Chicken Tenders(5 pieces) ,1,$6.69 ,440,21,41,21,1,1,0,0,0,0,1
Spicy Chicken Sandwich ,1,$2.19 ,490,43,14,29,1,1,0,0,1,0,1
Natural-Cut Fries(Small) ,1,$2.39 ,300,39,3,15,0,0,0,0,0,0,0
Natural-Cut Fries(Medium) ,1,$2.69 ,430,55,5,21,0,0,0,0,0,0,0
Natural-Cut Fries(Large) ,1,$2.89 ,460,59,5,22,0,0,0,0,0,0,0
CrissCut Fries,1,$3.26 ,450,42,5,29,0,0,0,0,0,0,1
Onion Rings,1,$3.26 ,530,61,8,28,0,1,0,0,0,0,1
Fried Zucchini,1,$3.26 ,380,39,5,23,0,1,0,0,0,0,1
All-Natural Charbroiled Chicken Salad,1,$6.79 ,280,19,32,9,0,1,0,0,1,0,1
Garden Side Salad ,1,3.99 ,140,15,6,7,0,1,0,0,1,0,1
Vanilla Shake ,1,4.29,700,86,12,35,0,1,0,0,0,0,0
Chocolate Shake ,1,4.29,690,84,12,36,0,1,0,0,0,0,0
Strawberry Shake ,1,4.29,690,83,12,35,0,1,0,0,0,0,0
OREO Cookie Shake,1,4.29,710,79,13,39,0,1,0,0,1,0,0
