name,id,price,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy ,treenuts,wheat
Original crust Italian garlic supreme personal,4,7.99,720,64,32,40,1,1,0,0,0,0,1
Original crust Italian garlic supreme medium,4,18.99,2320,208,104,120,1,1,0,0,0,0,1
Original crust Italian garlic supreme large,4,22.99,3240,288,144,168,1,1,0,0,0,0,1
Original crust Maui zaui personal,4,7.99,680,120,40,32,0,1,0,0,0,0,1
Original crust Maui zaui medium,4,18.99,2240,352,136,104,0,1,0,0,0,0,1
Original crust Maui zaui large,4,22.99,3120,492,192,144,0,1,0,0,0,0,1
Original crust king Arthur’s supreme personal,4,7.99,720,100,48,36,0,1,0,0,0,0,1
Original crust king Arthur’s supreme medium,4,18.99,2320,232,128,112,0,1,0,0,0,0,1
Original crust king Arthur’s supreme large,4,22.99,3120,420,180,156,0,1,0,0,0,0,1
Original crust Montague's all meat marvel personal,4,7.99,760,96,44,40,0,1,0,0,0,0,1
Original crust Montague's all meat marvel medium,4,18.99,2560,296,144,104,0,1,0,0,0,0,1
Original crust Montague's all meat marvel large,4,22.99,3360,420,192,132,0,1,0,0,0,0,1
Original crust Guinevere's garden delight personal,4,7.99,560,100,32,24,0,1,0,0,0,0,1
Original crust Guinevere's garden delight medium,4,18.99,1920,312,104,72,0,1,0,0,0,0,1
Original crust Guinevere's garden delight large,4,22.99,2520,432,144,108,0,1,0,0,0,0,1
Original crust gourmet veggie personal,4,7.99,600,100,36,28,1,1,0,0,0,0,1
Original crust gourmet veggie medium,4,18.99,1000,304,104,88,1,1,0,0,0,0,1
Original crust gourmet veggie large,4,22.99,2760,420,144,120,1,1,0,0,0,0,1
Original crust chicken and garlic gourmet personal,4,7.99,640,100,40,28,1,1,0,0,0,0,1
Original crust chicken and garlic gourmet medium,4,18.99,2080,304,128,88,1,1,0,0,0,0,1
Original crust chicken and garlic gourmet large,4,22.99,2760,420,180,120,1,1,0,0,0,0,1
Original crust BBQ chicken personal,4,7.99,680,112,40,28,1,1,0,0,0,0,1
Original crust BBQ chicken medium,4,18.99,2320,336,136,104,1,1,0,0,0,0,1
Original crust BBQ chicken large,4,22.99,3240,468,180,144,1,1,0,0,0,0,1
Original crust Hawaiian personal,4,7.49,600,96,104,24,0,1,0,0,0,0,1
Original crust Hawaiian medium,4,17.99,1920,296,320,72,0,1,0,0,0,0,1
Original crust Hawaiian large,4,21.49,2640,408,444,96,0,1,0,0,0,0,1
3 twists,4,3.99,510,75,18,15,1,1,0,0,0,0,1
6 twists,4,5.99,1020,150,36,30,1,1,0,0,0,0,1
6 buffalo wings,4,6.29,540,42,36,24,0,1,0,0,1,0,0
12 buffalo wings,4,9.99,1080,84,72,48,0,1,0,0,1,0,0
8 boneless buffalo wings,4,6.29,150,5,6,11,0,1,0,0,1,0,0
Garden salad small,4,6.49,120,10,5,6,1,1,0,0,0,0,1
Caesar salad small,4,6.49,350,15,8,30,0,1,0,0,0,0,1
Turkey club sandwich,4,6.99,650,59,39,27,1,1,0,0,1,0,1
Chicken club sandwich,4,6.99,670,58,46,27,1,1,0,0,1,0,1
Ham club sandwich,4,6.99,670,59,39,30,1,1,0,0,1,0,1
Veggie sandwich,4,6.99,530,57,23,23,0,1,0,0,1,0,1
20 oz soft drink,4,1.69,280,69,0,0,0,0,0,0,0,0,0
32 oz soft drink,4,1.89,400,100,0,0,0,0,0,0,0,0,0
