name,id,price ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Original Grand Slam,2,6.49,1050,109,36,52,1,1,0,0,0,0,1
Yep….Pancakes,2,4.29,760,144,15,14,1,1,0,0,0,0,1
Chipotle Breakfast Burrito,2,6.49,1070,56,44,72,1,1,0,0,0,0,1
"Sausage, Egg & Cheese Brioche Melt",2,4.49,560,37,25,36,1,1,0,0,0,0,1
"Bacon, Egg & Cheese Brioche Melt ",2,4.49,550,37,24,35,1,1,0,0,0,0,1
"Ham, Egg & Cheese Brioche Melt",2,4.49,510,36,25,30,1,1,0,0,0,0,1
Egg White Ranchero Brioche Melt ,2,4.49,410,38,18,21,1,1,0,0,0,0,1
Breakfast Scramble Burger ,2,7.29,1120,50,54,79,1,1,0,0,0,0,1
Bacon Avovado Club Burger Den Burger ,2,7.49,990,54,55,62,1,1,0,0,0,0,1
Den Burger,2,6.49,570,37,36,32,1,1,0,0,0,0,1
Double Den Burger ,2,7.29,690,37,45,41,1,1,0,0,0,0,1
Bacon Cheeseburger ,2,7.29,680,38,43,40,1,1,0,0,0,0,1
Little Den Burger ,2,5.49,460,37,26,23,1,1,0,0,0,0,1
Chipotle Bacon BBQ Cheeseburger ,2,7.29,1190,74,49,80,1,1,0,0,0,0,1
Cali Chicken Sandwich,2,6.99,790,53,43,47,1,1,0,0,0,0,1
Chick'N Bacon Brioche Melt ,2,5.99,810,70,35,45,1,1,0,0,0,0,1
Guacomole Chicken Burrito ,2,6.49,930,56,50,56,1,1,0,0,0,0,1
Southwestern Chicken Salad with Cilantro Lime Ranch Dressing ,2,7.29,690,31,37,46,0,1,0,0,0,0,1
Mozzarella Sticks with tomato sauce(5pc) ,2,4.49,370,41,20,15,1,1,0,0,0,0,1
Mozzarella Sticks with tomato sauce(8pc) ,2,5.49,580,63,32,23,1,1,0,0,0,0,1
French Fries ,2,2.78,340,40,4,18,1,1,0,0,0,0,1
Sweet Potato Fries ,2,2.78,360,51,3,16,1,1,0,0,0,0,1
Potato Rounds ,2,2.78,240,26,2,15,1,0,0,0,0,0,1
Onion Rings ,2,2.98,650,74,8,36,1,1,0,0,0,0,1
Chicken Tenders with Honey Mustard(3 pc) ,2,4.99,550,52,25,28,1,0,0,0,0,0,1
Chicken Tenders with Honey Mustard(5 pc) ,2,5.99,790,78,42,36,1,0,0,0,0,0,1
