name,id,  price   ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Doritos Loco Tacos - Regular,3,2.19,170,13,8,9,0,1,0,0,1,0,1
Doritos Loco Tacos - Supreme,3,2.74,190,15,8,11,0,1,0,0,1,0,1
Crunchy Taco - Regular ,3,1.69,170,13,8,9,0,1,0,0,1,0,1
Crunchy Taco - Supreme,3,2.15,190,15,8,11,0,1,0,0,1,0,1
Soft Taco - Regular(Beef) ,3,1.60,180,18,9,9,0,1,0,0,1,0,1
Soft Taco - Regular(Chicken) ,3,2.49,170,16,10,8,0,1,0,0,0,0,1
Soft Taco - Supreme,3,2.15,210,20,10,10,0,1,0,0,1,0,1
Grilled Steak Soft Taco,3,2.79,200,17,12,10,1,1,0,0,0,0,1
Burrito Supreme - Beef,3,3.90,390,51,16,14,0,1,0,0,1,0,1
Burrito Supreme - Chicken,3,3.90,370,48,19,11,0,1,0,0,0,0,1
Burrito Supreme - Steak,3,3.90,370,49,18,12,0,1,0,0,0,0,1
Beefy 5-Layer Burrito ,3,2.80,490,63,18,18,0,1,0,0,1,0,1
Shredded Chicken Buritto ,3,2.69,420,47,14,20,1,1,0,0,0,0,1
Bean Burrito ,3,1.70,350,54,13,9,0,1,0,0,0,0,1
7-Layer Burrito ,3,3.69,420,58,13,15,0,1,0,0,0,0,1
Crunchwrap Supreme,3,4.49,530,71,16,21,0,1,0,0,1,0,1
Cheesy Gordita Crunch ,3,3.69,500,41,20,28,1,1,0,0,1,0,1
Quesarito - Steak,3,4.49,630,66,24,30,1,1,0,0,0,0,1
Nachos BellGrande,3,4.69,740,82,16,38,0,1,0,0,1,0,1
Nachos Supreme,3,3.49,430,45,11,23,0,1,0,0,1,0,1
Quesadilla - Cheese,3,3.60,450,37,19,25,1,1,0,0,0,0,1
Quesadilla - Chicken,3,4.60,500,38,27,27,1,1,0,0,0,0,1
Fiesta Taco Salad,3,5.80,740,75,25,38,0,1,0,0,1,0,1
Famous Star with Cheese ,1,4.35,670,57,28,37,1,1,0,0,1,0,1
Super Star with Cheese ,1,5.99,920,59,48,56,1,1,0,0,1,0,1
Western Bacon Cheeseburger,1,5.25,750,75,36,35,0,1,0,0,1,0,1
Double Western Bacon Cheeseburger,1,6.59,1010,76,55,55,0,1,0,0,1,0,1
The Big Carl,1,5.69,920,56,47,58,1,1,0,0,1,0,1
California Classic Double Cheeseburger,1,3.49,600,41,23,39,0,1,0,0,1,0,1
The 1/3 lb. Original Six Dollar Thickburger,1,5.99,780,55,33,48,1,1,0,0,1,0,1
The 1/2 lb. Original Six Dollar Thickburger,1,$6.79 ,980,59,46,69,1,1,0,0,1,0,1
The 1/3 lb. Guacamole Bacon Thickburger,1,$6.86 ,950,50,39,67,1,1,0,0,1,0,1
The 1/2 lb. Guacamole Bacon Thickburger,1,$7.99 ,1200,51,46,89,1,1,0,0,1,0,1
The 1/3 lb Jalapeno Thickburger,1,$6.69 ,820,48,32,56,1,1,0,0,1,0,1
The 1/2 lb Jalapeno Thickburger,1,$7.69 ,1020,49,45,72,1,1,0,0,1,0,1
The 1/3 lb Lettuce-Wrapped Thickburger,1,$5.69 ,420,8,25,33,1,1,0,0,1,0,0
The 1/2 lb Lettuce-Wrapped Thickburger,1,$6.79 ,630,9,39,55,1,1,0,0,1,0,0
All-Natural Charbroiled Chicken Club Sandwich,1,$6.49 ,590,46,42,27,1,1,0,0,1,0,1
All-Natural Charbroiled Santa Fe Chicken Sandwich,1,$6.49 ,550,45,36,25,1,1,0,0,1,0,1
All-Natural Charbroiled BBQ Chicken Sandwich ,1,$5.89 ,370,49,33,5,0,0,0,0,1,0,1
Big Chicken Fillet Sandwich ,1,$6.50 ,650,55,33,33,1,1,0,0,1,0,1
Bacon Swiss Crispy Chicken Sandwich,1,$7.50 ,770,58,42,41,1,1,0,0,1,0,1
Hand-Breaded Chicken Tenders(3 pieces) ,1,$4.69 ,260,13,25,13,1,1,0,0,0,0,1
Hand-Breaded Chicken Tenders(5 pieces) ,1,$6.69 ,440,21,41,21,1,1,0,0,0,0,1
Spicy Chicken Sandwich ,1,$2.19 ,490,43,14,29,1,1,0,0,1,0,1
Natural-Cut Fries(Small) ,1,$2.39 ,300,39,3,15,0,0,0,0,0,0,0
Natural-Cut Fries(Medium) ,1,$2.69 ,430,55,5,21,0,0,0,0,0,0,0
Natural-Cut Fries(Large) ,1,$2.89 ,460,59,5,22,0,0,0,0,0,0,0
CrissCut Fries,1,$3.26 ,450,42,5,29,0,0,0,0,0,0,1
Onion Rings,1,$3.26 ,530,61,8,28,0,1,0,0,0,0,1
Fried Zucchini,1,3.26 ,380,39,5,23,0,1,0,0,0,0,1
All-Natural Charbroiled Chicken Salad,1,6.79 ,280,19,32,9,0,1,0,0,1,0,1
Garden Side Salad ,1,3.99,140,15,6,7,0,1,0,0,1,0,1
Vanilla Shake ,1,4.29,700,86,12,35,0,1,0,0,0,0,0
Chocolate Shake ,1,4.29,690,84,12,36,0,1,0,0,0,0,0
Strawberry Shake ,1,4.29,690,83,12,35,0,1,0,0,0,0,0
OREO Cookie Shake,1,4.29,710,79,13,39,0,1,0,0,1,0,0
Aloha Pineapple Small,5,5.19,290,67,5,1.5,0,1,0,0,0,0,0
Aloha Pineapple Medium,5,6.09,400,89,7,2,0,1,0,0,0,0,0
Aloha Pineapple Large,5,6.79,510,115,8,2,0,1,0,0,0,0,0
Caribbean Passion Small,5,5.19,260,63,2,1,0,1,0,0,0,0,0
Caribbean Passion Medium,5,6.09,340,82,2,1.5,0,1,0,0,0,0,0
Caribbean Passion Large,5,6.79,420,102,3,2,0,1,0,0,0,0,0
Mango-a-go-go Small,5,5.19,300,73,1,1,0,1,0,0,0,0,0
Mango-a-go-go Medium,5,6.09,400,97,2,1.5,0,1,0,0,0,0,0
Mango-a-go-go Large,5,6.79,510,123,2,2,0,1,0,0,0,0,0
Peach Perfection Small,5,5.49,210,51,2,0,0,0,0,0,0,0,0
Peach Perfection Large,5,7.09,360,88,3,1,0,0,0,0,0,0,0
Banana Berry Small,5,5.19,270,64,3,1,0,0,0,0,0,0,0
Razzmatazz Small,5,5.19,270,65,1,1,0,1,0,0,0,0,0
Razzmatazz Medium,5,6.09,360,87,1,1.5,0,1,0,0,0,0,0
