Item,price ,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
1/2 lb. Cheesy Potato Burrito ,,540,59,19,26,,,,,,,
1/2 lb Combo Burrito ,,460,53,21,18,,,,,,,
7-Layer Burrito ,,500,69,17,18,,,,,,,
Bean Burrito ,,370,56,13,10,,,,,,,
Beefy 5-Layer Burrto ,,540,68,19,22,,,,,,,
Beefy Crunch Burrito ,,500,61,14,22,,,,,,,
Burrito Supreme - Beef ,,420,53,17,16,,,,,,,
Burrito Supreme  - Chicken ,,400,51,21,12,,,,,,,
Burrito Supreme - Steak ,,390,51,17,13,,,,,,,
Chili Cheese Burrito ,,380,41,16,17,,,,,,,
Fresco Bean Burrito ,,350,57,12,8,,,,,,,
Grilled Chicken Burrito ,,430,48,18,18,,,,,,,
XXL Grilled Stuft Burrito - Beef,,880,95,32,42,,,,,,,
XXL Grilled Stuft Burrito - Chicken,,840,92,40,35,,,,,,,
XXL Grilled Stuft Burrito - Steak,,820,91,33,36,,,,,,,
Chalupa Supreme  - Chicken,,350,29,17,18,,,,,,,
Chalupa Supreme  - Steak,,340,29,14,18,,,,,,,
Chalupa Supreme  - Beef,,370,31,13,21,,,,,,,
Avocado Ranch Dressing ,,80,1,0,8,,,,,,,
Border Sauce - Fire ,,0,0,0,0,,,,,,,
Border Sauce - Hot ,,0,0,0,0,,,,,,,
Border Suace - Mild ,,0,0,0,0,,,,,,,
Creamy Jalapeno Suace ,,70,1,0,7,,,,,,,
Fiesta Salsa,,5,1,0,0,,,,,,,
Fire Roasted Salsa,,5,1,0,0,,,,,,,
Green Tomatillo Sauce ,,10,2,0,0,,,,,,,
Guacamole,,35,2,0,3,,,,,,,
Pepper Jack Suace ,,70,1,0,7,,,,,,,
Pizza Sauce ,,10,2,0,0,,,,,,,
Red Sauce,,10,2,0,0,,,,,,,
Reduced Fat Sour Cream ,,30,2,1,2,,,,,,,
Salsa,,5,1,0,0,,,,,,,
Salsa Verde ,,5,1,0,0,,,,,,,
Fresco Bean Burrito ,,350,57,12,8,,,,,,,
Fresco Burrito Supreme - Chicken ,,350,50,18,8,,,,,,,
Fresco Burrito Supreme - Steak,,340,50,15,8,,,,,,,
Fresco Chicken Soft Taco ,,150,18,12,3.5,,,,,,,
Fresco Crunch Taco ,,150,13,6,8,,,,,,,
Fresco Grilled Steak Soft Taco ,,150,19,9,4,,,,,,,
Fresco Soft Taco ,,180,20,8,7,,,,,,,
Cheesy Gordita Crunch ,,490,39,20,29,,,,,,,
Gordita Supreme - Chicken ,,270,29,17,10,,,,,,,
Gordita Supreme - Steak,,270,29,14,11,,,,,,,
Gordita Supreme - Beef,,300,31,13,14,,,,,,,
Cheesy Nachos ,,280,29,4,17,,,,,,,
Nachos,,330,31,4,20,,,,,,,
Nachos BellGrande ,,770,79,19,42,,,,,,,
Nachos Supreme,,440,42,12,25,,,,,,,
Volcano Nachos ,,980,89,20,60,,,,,,,
Caramel Apple Empanada ,,310,39,3,15,,,,,,,
Cheesy Fiesta Potatoes,,290,32,4,17,,,,,,,
Cinnamon Twists ,,170,26,1,7,,,,,,,
Mexican Rice ,,120,20,2,3.5,,,,,,,
Pintos n Cheese ,,170,20,9,6,,,,,,,
Cheese Quesadilla,,480,40,19,27,,,,,,,
Cheese Roll-Up ,,190,18,9,9,,,,,,,
Chicken Quesadilla ,,530,41,28,28,,,,,,,
Chili Cheese Burrito ,,380,41,16,17,,,,,,,
Crunchwrap Supreme ,,540,71,16,21,,,,,,,
Enchirito - Chicken ,,340,32,22,14,,,,,,,
Enchirito - Steak,,330,32,19,14,,,,,,,
Enchirito - Beef,,360,34,18,17,,,,,,,
Express Taco Salad w/ Chips,,580,59,23,29,,,,,,,
MexiMelt,,270,21,14,14,,,,,,,
Mexican Pizza ,,540,47,20,30,,,,,,,
Original Chicken Flatbread Sandwich ,,290,22,15,16,,,,,,,
Steak Quesadilla ,,520,41,25,28,,,,,,,
Tastada ,,250,30,10,10,,,,,,,
Express Taco Salad w/ Chips,,580,59,23,29,,,,,,,
Fiesta Taco Salad - Beef ,,770,74,26,42,,,,,,,
Fiesta Taco Salad - Chicken,,730,70,34,35,,,,,,,
Fiesta Taco Salad - Steak,,710,70,28,36,,,,,,,
Chicken Soft Taco ,,180,18,14,6,,,,,,,
Crispy Potato Soft Taco ,,270,31,6,13,,,,,,,
Crunchy Taco ,,170,12,8,10,,,,,,,
Crunchy Taco Supreme ,,200,15,9,12,,,,,,,
Double Deck Taco Supreme ,,350,40,14,15,,,,,,,
Double Decker Taco ,,320,37,13,13,,,,,,,
Fresco Chicken Soft Taco ,,150,18,12,3.5,,,,,,,
Fresco Crunchy Taco ,,150,13,6,8,,,,,,,
Grilled Steak Soft Taco ,,250,19,11,14,,,,,,,
Soft Taco Supreme - Beef,,230,22,10,11,,,,,,,
Soft Taco - Beef ,,200,19,10,9,,,,,,,
Volcano Burrito ,,780,80,24,41,,,,,,,
Volcano Nachos ,,980,89,20,60,,,,,,,
Volcano Taco ,,230,14,8,16,,,,,,,
Bean Burrito ,,370,56,13,10,,,,,,,
Beefy 5-Layer Burrito ,,540,68,19,22,,,,,,,
Caramel Apple Empanada ,,310,39,3,15,,,,,,,
Cheese Roll-Up ,,190,18,9,9,,,,,,,
Cheesy Nachos ,,280,29,4,17,,,,,,,
Cinnamon Twists ,,170,26,1,7,,,,,,,
Crispy Potato Soft Taco ,,270,31,6,13,,,,,,,
Crunchy Taco ,,270,12,8,10,,,,,,,
Soft Taco - Beef ,,200,19,10,9,,,,,,,
