Item,calories,carbs,protein,fat,egg,milk,peanuts,shellfish,soy,treenuts,wheat
Chow Mein,510,80,13,20,0,0,0,0,1,0,1
Chow Fun,410,73,9,9,0,1,0,0,1,0,1
Fried Rice ,520,85,11,16,1,0,0,0,1,0,1
Brown Steamed Rice ,420,86,9,4,0,0,0,0,0,0,0
White Steamed Rice ,380,87,7,0,0,0,0,0,0,0,0
Super Greens(side) ,90,10,6,2.5,0,0,0,0,1,0,1
Eggplant Tofu,340,23,7,14,0,0,0,0,1,0,1
Super Greens(Entree) ,45,5,3,1.5,0,0,0,0,1,0,1
Black Pepper Chicken ,280,15,13,19,0,0,0,0,1,0,1
Kung Pao Chicken ,290,14,16,19,0,0,1,0,1,0,1
Grilled Teriyaki Chicken,300,8,36,13,0,0,0,0,1,0,1
Grilled Asian Chicken,300,8,36,13,0,0,0,0,1,0,1
Teriyaki Chicken ,340,14,41,13,0,0,0,0,1,0,1
Asian Chicken ,340,14,41,13,0,0,0,0,1,0,1
Mushroom Chicken ,220,20,13,14,0,0,0,0,1,0,1
Orange Chicken ,490,51,25,23,1,1,0,0,1,0,1
Potato Chicken ,190,18,8,10,0,0,0,0,1,0,1
Honey Sesame Chicken Breast ,420,40,16,22,0,0,0,0,1,0,1
String Bean Chicken Breast,190,13,14,9,0,0,0,0,1,0,1
Sweet Fire Chicken Breast,380,47,13,15,0,0,0,0,0,0,1
Sweet & Sour Chicken Breast ,300,40,10,12,0,0,0,0,0,0,1
Beijing Beef ,470,46,13,26,0,1,0,0,1,0,1
Broccoli Beef ,150,13,9,7,0,0,0,0,1,0,1
Shanghai Angus Steak ,310,17,19,19,0,0,0,0,1,0,1
Honey Walnut Shrimp ,360,35,13,23,1,1,0,1,1,1,1
Golden Treasure Shrmip ,360,35,14,18,0,0,0,1,1,0,1
Chicken Egg Roll ,200,20,6,10,1,1,0,0,1,0,1
Chicken Potsticker ,160,20,6,6,0,0,0,0,1,0,1
Cream Cheese Rangoon ,190,24,5,8,1,1,0,0,0,0,1
Vegetable Spring Roll ,190,27,3,8,0,0,0,0,1,0,1
Teriyaki Sauce ,70,16,7,0,0,0,0,0,1,0,1
Sweet & Sour Sauce ,70,21,10,0,0,0,0,0,0,0,0
Chili Sauce ,10,2,0,0,0,0,0,0,0,0,0
Soy Sauce ,5,0,0,0,0,0,0,0,1,0,1
Posticker Sauce ,10,3,0,0,0,0,0,0,1,0,1
